node,node_name,atlas_label,atlas_value,atlas_version
148,AAL_152,ACC_sub_R,152,AAL3v1/AAL3v2 labels
149,AAL_153,ACC_pre_L,153,AAL3v1/AAL3v2 labels
150,AAL_154,ACC_pre_R,154,AAL3v1/AAL3v2 labels
151,AAL_155,ACC_sup_L,155,AAL3v1/AAL3v2 labels
152,AAL_156,ACC_sup_R,156,AAL3v1/AAL3v2 labels
153,AAL_157,N_Acc_L,157,AAL3v1/AAL3v2 labels
154,AAL_158,N_Acc_R,158,AAL3v1/AAL3v2 labels
155,AAL_159,VTA_L,159,AAL3v1/AAL3v2 labels
156,AAL_160,VTA_R,160,AAL3v1/AAL3v2 labels
157,AAL_161,SN_pc_L,161,AAL3v1/AAL3v2 labels
158,AAL_162,SN_pc_R,162,AAL3v1/AAL3v2 labels
159,AAL_163,SN_pr_L,163,AAL3v1/AAL3v2 labels
160,AAL_164,SN_pr_R,164,AAL3v1/AAL3v2 labels
161,AAL_165,Red_N_L,165,AAL3v1/AAL3v2 labels
162,AAL_166,Red_N_R,166,AAL3v1/AAL3v2 labels
163,AAL_167,LC_L,167,AAL3v1/AAL3v2 labels
164,AAL_168,LC_R,168,AAL3v1/AAL3v2 labels
165,AAL_169,Raphe_D,169,AAL3v1/AAL3v2 labels
166,AAL_170,Raphe_M,170,AAL3v1/AAL3v2 labels
