description,rank
REPEAT SAG 3D MP RAGE NO ANGLE,5
REPEAT SAG 3D MPRAGE,5
Repeat_Accelerated Sagittal MPRAGE,5
SAG 3D MPRAGE,5
SAG 3D MPRAGE NO ANGLE,5
SAG MP-RAGE,5
SAG MP-RAGE REPEAT,5
SAG MPRAGE GRAPPA2 NO ANGLE,5
SAG MPRAGE NO ANGLE,5
Sag Accel IR-FSPGR,5
Sag IR-FSPGR,5
Sag IR-FSPGR Repeat,5
Sagittal 3D Accelerated 0 angle MPRAGE,5
Sagittal 3D Accelerated MPRAGE,5
Sagittal 3D Accelerated MPRAGE (MSV21),5
VWIP Coronal 3D Accelerated MPRAGE,5
corrected AD image <- Sag IR-FSPGR,5
corrected FA image <- Sag IR-FSPGR,5
Accelerated Sagittal MPRAGE_ND,6
MPR-R; ; N3 <- MPRAGE_ASO_repeat,6
MPRAGEASO,6
MPRAGE_ NO ANGLE,6
MPRAGE_ NO ANGLE=,6
MPRAGE_ Sag  - NO ANGLE=,6
MPRAGE_ASO,6
MPRAGE_ASO_repeat,6
MPRAGE_GRAPPA2,6
MPRAGE_GRAPPA2          straight no angle,6
MPRAGE_ND,6
MPRAGE_P2_NO ANGLE,6
MPRAGE_P2_NO ANGLE=,6
